Date,Open,High,Low,Close,Adj Close
2021-03-10,54824.01172,57258.25391,53290.89063,56008.55078,56008.55078
2021-03-11,55963.17969,58091.0625,54484.59375,57805.12109,57805.12109
2021-03-12,57821.21875,57996.62109,55376.64844,57332.08984,57332.08984
2021-03-13,57343.37109,61683.86328,56217.97266,61243.08594,61243.08594
2021-03-14,61221.13281,61597.91797,59302.31641,59302.31641,59302.31641
2021-03-15,59267.42969,60540.99219,55393.16406,55907.19922,55907.19922
2021-03-16,55840.78516,56833.17969,53555.02734,56804.90234,56804.90234
2021-03-17,56825.82813,58969.81641,54528.62891,58870.89453,58870.89453
2021-03-18,58893.07813,60116.25,54253.57813,57858.92188,57858.92188
2021-03-19,57850.44141,59498.375,56643.70313,58346.65234,58346.65234
2021-03-20,58332.26172,60031.28516,58213.29688,58313.64453,58313.64453
2021-03-21,58309.91406,58767.89844,56005.61719,57523.42188,57523.42188
2021-03-22,57517.89063,58471.48047,54288.15625,54529.14453,54529.14453
2021-03-23,54511.66016,55985.44141,53470.69531,54738.94531,54738.94531
2021-03-24,54710.48828,57262.38281,52514.33203,52774.26563,52774.26563
2021-03-25,52726.74609,53392.38672,50856.57031,51704.16016,51704.16016
2021-03-26,51683.01172,55137.3125,51579.85547,55137.3125,55137.3125
2021-03-27,55137.56641,56568.21484,54242.91016,55973.51172,55973.51172
2021-03-28,55974.94141,56610.3125,55071.11328,55950.74609,55950.74609
2021-03-29,55947.89844,58342.09766,55139.33984,57750.19922,57750.19922
2021-03-30,57750.13281,59447.22266,57251.55078,58917.69141,58917.69141
2021-03-31,58930.27734,59930.02734,57726.41797,58918.83203,58918.83203
2021-04-01,58926.5625,59586.07031,58505.27734,59095.80859,59095.80859
2021-04-02,59098.87891,60267.1875,58869.28125,59384.3125,59384.3125
2021-04-03,59397.41016,60110.26953,57603.89063,57603.89063,57603.89063
2021-04-04,57604.83984,58913.74609,57168.67578,58758.55469,58758.55469
2021-04-05,58760.875,59891.29688,57694.82422,59057.87891,59057.87891
2021-04-06,59171.93359,59479.57813,57646.80859,58192.35938,58192.35938
2021-04-07,58186.50781,58731.14453,55604.02344,56048.9375,56048.9375
2021-04-08,56099.91406,58338.73828,55879.08594,58323.95313,58323.95313
2021-04-09,58326.5625,58937.04688,57807.86328,58245.00391,58245.00391
2021-04-10,58253.77734,61276.66406,58038.70703,59793.23438,59793.23438
2021-04-11,59846.23047,60790.55469,59289.79688,60204.96484,60204.96484
2021-04-12,60175.94531,61253.03516,59589.875,59893.45313,59893.45313
2021-04-13,59890.01953,63742.28516,59869.95703,63503.45703,63503.45703
2021-04-14,63523.75391,64863.09766,61554.79688,63109.69531,63109.69531
2021-04-15,63075.19531,63821.67188,62208.96484,63314.01172,63314.01172
2021-04-16,63258.50391,63594.72266,60222.53125,61572.78906,61572.78906
2021-04-17,61529.92188,62572.17578,60361.35156,60683.82031,60683.82031
2021-04-18,60701.88672,61057.45703,52829.53516,56216.18359,56216.18359
2021-04-19,56191.58594,57520.05469,54368.59375,55724.26563,55724.26563
2021-04-20,55681.79297,57062.14844,53448.04688,56473.03125,56473.03125
2021-04-21,56471.12891,56757.97266,53695.46875,53906.08984,53906.08984
2021-04-22,53857.10547,55410.23047,50583.8125,51762.27344,51762.27344
2021-04-23,51739.80859,52120.79297,47714.66406,51093.65234,51093.65234
2021-04-24,51143.22656,51167.5625,48805.28516,50050.86719,50050.86719
2021-04-25,50052.83203,50506.01953,47159.48438,49004.25391,49004.25391
2021-04-26,49077.79297,54288.00391,48852.79688,54021.75391,54021.75391
2021-04-27,54030.30469,55416.96484,53319.1875,55033.11719,55033.11719
2021-04-28,55036.63672,56227.20703,53887.91797,54824.70313,54824.70313
2021-04-29,54858.08984,55115.84375,52418.02734,53555.10938,53555.10938
2021-04-30,53568.66406,57900.71875,53129.60156,57750.17578,57750.17578
2021-05-01,57714.66406,58448.33984,57052.27344,57828.05078,57828.05078
2021-05-02,57825.86328,57902.59375,56141.90625,56631.07813,56631.07813
2021-05-03,56620.27344,58973.30859,56590.87109,57200.29297,57200.29297
2021-05-04,57214.17969,57214.17969,53191.42578,53333.53906,53333.53906
2021-05-05,53252.16406,57911.36328,52969.05469,57424.00781,57424.00781
2021-05-06,57441.30859,58363.31641,55382.50781,56396.51563,56396.51563
2021-05-07,56413.95313,58606.63281,55321.84766,57356.40234,57356.40234
2021-05-08,57352.76563,59464.61328,56975.21094,58803.77734,58803.77734
2021-05-09,58877.39063,59210.88281,56482.00391,58232.31641,58232.31641
2021-05-10,58250.87109,59519.35547,54071.45703,55859.79688,55859.79688
2021-05-11,55847.24219,56872.54297,54608.65234,56704.57422,56704.57422
2021-05-12,56714.53125,57939.36328,49150.53516,49150.53516,49150.53516
2021-05-13,49735.43359,51330.84375,46980.01953,49716.19141,49716.19141
2021-05-14,49682.98047,51438.11719,48868.57813,49880.53516,49880.53516
2021-05-15,49855.49609,50639.66406,46664.14063,46760.1875,46760.1875
2021-05-16,46716.63672,49720.04297,43963.35156,46456.05859,46456.05859
2021-05-17,46415.89844,46623.55859,42207.28906,43537.51172,43537.51172
2021-05-18,43488.05859,45812.45703,42367.83203,42909.40234,42909.40234
2021-05-19,42944.97656,43546.11719,30681.49609,37002.44141,37002.44141
2021-05-20,36753.66797,42462.98438,35050.61719,40782.73828,40782.73828
2021-05-21,40596.94922,42172.17188,33616.45313,37304.69141,37304.69141
2021-05-22,37371.03125,38831.05469,35383.68359,37536.63281,37536.63281
2021-05-23,37531.44922,38289.21875,31227.33984,34770.58203,34770.58203
2021-05-24,34700.36328,39835.14063,34551.08203,38705.98047,38705.98047
2021-05-25,38795.78125,39776.35156,36581.42969,38402.22266,38402.22266
2021-05-26,38392.625,40782.07813,37905.83594,39294.19922,39294.19922
2021-05-27,39316.89063,40379.61719,37247.90234,38436.96875,38436.96875
2021-05-28,38507.08203,38856.96875,34779.03906,35697.60547,35697.60547
2021-05-29,35684.15625,37234.5,33693.92969,34616.06641,34616.06641
2021-05-30,34607.40625,36400.66797,33520.73828,35678.12891,35678.12891
2021-05-31,35658.59375,37468.25,34241.94531,37332.85547,37332.85547
2021-06-01,37293.79297,37896.73438,35787.08594,36684.92578,36684.92578
2021-06-02,36699.92188,38231.33984,35966.30859,37575.17969,37575.17969
2021-06-03,37599.41016,39478.95313,37243.97266,39208.76563,39208.76563
2021-06-04,39242.48438,39242.48438,35717.72266,36894.40625,36894.40625
2021-06-05,36880.15625,37917.71484,34900.41406,35551.95703,35551.95703
2021-06-06,35538.60938,36436.42188,35304.57813,35862.37891,35862.37891
2021-06-07,35835.26563,36790.57031,33480.64063,33560.70703,33560.70703
2021-06-08,33589.51953,34017.38672,31114.44336,33472.63281,33472.63281
2021-06-09,33416.97656,37537.37109,32475.86523,37345.12109,37345.12109
2021-06-10,37389.51563,38334.32422,35847.59375,36702.59766,36702.59766
2021-06-11,36697.03125,37608.69531,36044.44922,37334.39844,37334.39844
2021-06-12,37340.14453,37408.92578,34728.19141,35552.51563,35552.51563
2021-06-13,35555.78906,39322.78125,34864.10938,39097.85938,39097.85938
2021-06-14,39016.96875,40978.36328,38757.28516,40218.47656,40218.47656
2021-06-15,40427.16797,41295.26953,39609.46875,40406.26953,40406.26953
2021-06-16,40168.69141,40516.77734,38176.03516,38347.0625,38347.0625
2021-06-17,38341.42188,39513.67188,37439.67578,38053.50391,38053.50391
2021-06-18,38099.47656,38187.26172,35255.85547,35787.24609,35787.24609
2021-06-19,35854.52734,36457.79688,34933.0625,35615.87109,35615.87109
2021-06-20,35563.14063,36059.48438,33432.07422,35698.29688,35698.29688
2021-06-21,35641.14453,35721.64063,31295.93555,31676.69336,31676.69336
2021-06-22,31622.37695,33292.45313,28893.62109,32505.66016,32505.66016
2021-06-23,32515.71484,34753.41016,31772.63281,33723.02734,33723.02734
2021-06-24,33682.80078,35228.85156,32385.21484,34662.4375,34662.4375
2021-06-25,34659.10547,35487.24609,31350.88477,31637.7793,31637.7793
2021-06-26,31594.66406,32637.58789,30184.50195,32186.27734,32186.27734
2021-06-27,32287.52344,34656.12891,32071.75781,34649.64453,34649.64453
2021-06-28,34679.12109,35219.89063,33902.07422,34434.33594,34434.33594
2021-06-29,34475.55859,36542.10938,34252.48438,35867.77734,35867.77734
2021-06-30,35908.38672,36074.75781,34086.15234,35040.83594,35040.83594
2021-07-01,35035.98438,35035.98438,32883.78125,33572.11719,33572.11719
2021-07-02,33549.60156,33939.58984,32770.67969,33897.04688,33897.04688
2021-07-03,33854.42188,34909.26172,33402.69531,34668.54688,34668.54688
2021-07-04,34665.56641,35937.56641,34396.47656,35287.78125,35287.78125
2021-07-05,35284.34375,35284.34375,33213.66016,33746.00391,33746.00391
2021-07-06,33723.50781,35038.53516,33599.91797,34235.19531,34235.19531
2021-07-07,34225.67969,34997.66406,33839.28906,33855.32813,33855.32813
2021-07-08,33889.60547,33907.90625,32133.18359,32877.37109,32877.37109
2021-07-09,32861.67188,34042.29297,32318.88086,33798.01172,33798.01172
2021-07-10,33811.24219,34209.07031,33116.01172,33520.51953,33520.51953
2021-07-11,33538.55469,34522.92188,33354.62891,34504.8125,34504.8125
